1,Electrical appliances,Vifaa vya umeme
2,Electronics Devices,Vifaa vya kielectroniki
3,Funitures,Thamani za ndani
4,Cookware & Services,Mapishi na Huduma
5,Health & Fitness,Afya na Ukakamavu
6,Cleanliness & Beuty,Usafi na Urembo
7,Hotel & Grocery,Hoteli na Migahawa
8,ApartMent & lodges,Maladhi na Pango
9,Automobile  & accesories,Vyombo vya moto na Vifaa
10,Machinery & Tools,Mashine na Vifaa 
11,Contruction,Ujenzi
12,Agriculture,Kilimo na Ufugaji
13,Fashions,Mavazi na mitindo
14,Educational Equipments,Vifaa Kwa Elimu
15,Ceremonial & Events,Shuguli za mikusanyiko
16,Bites & Soft drinks,Vitafunwa na Vinywaji laini
